Sample	Saa3_avg_intensity	Cxcl10_avg_intensity	Saa3_percent_positive	Cxcl10_percent_positive	Saa3_single_positive	Cxcl10_single_positive	Double_positive	Sample_Num	BetaGluc_Treatment	LPS_Treatment	Control	UN_ID
S1A2_Samp3_NoBGluc_NoLPS_NoAbs	1153.892628	2393.962757	0.211334229	2.880096436	0.074386597	2.743148804	0.136947632	3	None	No	Yes	Sample3_None_No
S1A3_Samp3_Agg_noLPS_NoAbs	1224.687244	2444.833824	0.238418579	3.304290771	0.095367432	3.161239624	0.143051147	3	Aggregated	Yes	Yes	Sample3_Aggregated_Yes
S1A4_Samp3_Sol_noLPS_NoAbs	1249.775055	2484.845284	0.270843506	3.922271729	0.119018555	3.770446777	0.151824951	3	Soluble	Yes	Yes	Sample3_Soluble_Yes
S1A5_Samp3_NoBGluc_LPS_NoAbs	1225.851456	2423.062294	0.19569397	3.12461853	0.058364868	2.987289429	0.137329102	3	None	Yes	Yes	Sample3_None_Yes
S1C2_Samp3_Agg_LPS_TNFaPacificBlue_only	1231.133907	2480.139519	0.216293335	3.559875488	0.071716309	3.415298462	0.144577026	3	Aggregated	Yes	Yes	Sample3_Aggregated_Yes
S1C3_Samp3_Agg_LPS_IL6PE_only	1249.443184	2452.391758	0.407409668	3.548431396	0.214767456	3.355789185	0.192642212	3	Aggregated	Yes	Yes	Sample3_Aggregated_Yes
S1C4_Samp3_Agg_LPS_SAA3AF647_only	1579.938477	2565.400673	3.522491455	4.291152954	3.102111816	3.870773315	0.420379639	3	Aggregated	Yes	Yes	Sample3_Aggregated_Yes
S1C5_Samp3_Agg_LPS_Cxcl10AF488_only	1036.207684	4965.942047	0.206756592	22.13363647	0.021743774	21.94862366	0.185012817	3	Aggregated	Yes	Yes	Sample3_Aggregated_Yes
S2A2_Samp3_Agg_LPS_DkAntiRbAF488_secondaryonly	1226.939091	2636.389515	0.193786621	6.899261475	0.046920776	6.75239563	0.146865845	3	Aggregated	Yes	Yes	Sample3_Aggregated_Yes
S2A3_Samp3_Agg_LPS_TNFaIL6SAA3_NoCxcl10Primary_withAF488Secondary	1655.903835	2728.22438	3.177642822	7.60383606	2.197647095	6.623840332	0.979995728	3	Aggregated	Yes	Yes	Sample3_Aggregated_Yes
S2A4_Samp1_NoBGluc_NoLPS_AllAbs	1272.529739	4284.588017	0.294876099	28.2409668	0.047683716	27.99377441	0.247192383	1	None	No	No	Sample1_None_No
S2A5_Samp1_NoBGluc_NoLPS_AllAbs	1277.388824	4557.560471	0.339889526	33.01963806	0.076293945	32.75604248	0.263595581	1	None	No	No	Sample1_None_No
S2C2_Samp2_NoBGluc_NoLPS_AllAbs	1293.535069	3014.714893	0.345993042	11.59439087	0.045394897	11.29379272	0.300598145	2	None	No	No	Sample2_None_No
S2C3_Samp2_NoBGluc_NoLPS_AllAbs	1427.820934	4054.549675	1.488494873	21.35391235	0.190734863	20.05615234	1.29776001	2	None	No	No	Sample2_None_No
S2C4_Samp3_NoBGluc_NoLPS_AllAbs	1216.324692	3961.455738	0.201416016	21.9291687	0.026321411	21.7540741	0.175094604	3	None	No	No	Sample3_None_No
S2C5_Samp3_NoBGluc_NoLPS_AllAbs	1251.88139	3465.230255	0.393676758	14.50920105	0.034713745	14.15023804	0.358963013	3	None	No	No	Sample3_None_No
S3A2_Samp1_NoBGluc_LPS_AllAbs	1454.609661	4592.104881	1.518630981	38.27972412	0.078582764	36.8396759	1.440048218	1	None	Yes	No	Sample1_None_Yes
S3A3_Samp1_NoBGluc_LPS_AllAbs	1427.623199	5031.354717	1.225662231	39.9559021	0.04234314	38.77258301	1.183319092	1	None	Yes	No	Sample1_None_Yes
S3A4_Samp2_NoBGluc_LPS_AllAbs	1485.63652	4922.808247	2.116394043	32.47375488	0.048446655	30.4058075	2.067947388	2	None	Yes	No	Sample2_None_Yes
S3A5_Samp2_NoBGluc_LPS_AllAbs	1418.580666	3743.120144	1.294326782	23.30474854	0.04119873	22.05162048	1.253128052	2	None	Yes	No	Sample2_None_Yes
S3C2_Samp3_NoBGluc_LPS_AllAbs	1490.217609	3559.842567	2.510070801	21.39358521	0.101852417	18.98536682	2.408218384	3	None	Yes	No	Sample3_None_Yes
S3C3_Samp3_NoBGluc_LPS_AllAbs	1538.087914	4875.937229	2.639389038	35.11199951	0.029373169	32.50198364	2.610015869	3	None	Yes	No	Sample3_None_Yes
S3C4_Samp1_Agg_NoLPS_AllAbs	1719.63028	7126.397308	4.236221313	20.61691284	0.046920776	16.4276123	4.189300537	1	Aggregated	No	No	Sample1_Aggregated_No
S3C5_Samp1_Agg_NoLPS_AllAbs	1399.03727	4618.000916	1.623153687	13.75427246	0.02784729	12.15896606	1.595306396	1	Aggregated	No	No	Sample1_Aggregated_No
S4A2_Samp2_Agg_NoLPS_AllAbs	1329.561932	4564.640594	0.506210327	16.29257202	0.060653687	15.84701538	0.445556641	2	Aggregated	No	No	Sample2_Aggregated_No
S4A3_Samp2_Agg_NoLPS_AllAbs	1495.813583	6408.271431	1.10244751	27.79312134	0.191116333	26.88179016	0.911331177	2	Aggregated	No	No	Sample2_Aggregated_No
S4A4_Samp3_Agg_NoLPS_AllAbs	1395.190952	4866.196625	0.664138794	20.83282471	0.127029419	20.29571533	0.537109375	3	Aggregated	No	No	Sample3_Aggregated_No
S4A5_Samp3_Agg_NoLPS_AllAbs	1512.116795	7558.69418	1.578521729	33.03604126	0.070571899	31.52809143	1.507949829	3	Aggregated	No	No	Sample3_Aggregated_No
S4C2_Samp1_Agg_LPS_AllAbs	2059.710464	4978.176865	6.792831421	21.95396423	0.233078003	15.39421082	6.559753418	1	Aggregated	Yes	No	Sample1_Aggregated_Yes
S4C3_Samp1_Agg_LPS_AllAbs	1878.994797	5852.286949	5.643844604	32.11593628	0.205230713	26.67732239	5.438613892	1	Aggregated	Yes	No	Sample1_Aggregated_Yes
S4C4_Samp2_Agg_LPS_AllAbs	2024.793648	7738.95594	7.600784302	35.97145081	0.074005127	28.44467163	7.526779175	2	Aggregated	Yes	No	Sample2_Aggregated_Yes
S4C5_Samp2_Agg_LPS_AllAbs	1883.801674	5692.476265	4.982376099	33.34465027	0.133132935	28.4954071	4.849243164	2	Aggregated	Yes	No	Sample2_Aggregated_Yes
S5A2_Samp3_Agg_LPS_AllAbs	1878.558586	6040.798702	5.453491211	28.02734375	0.064086914	22.63793945	5.389404297	3	Aggregated	Yes	No	Sample3_Aggregated_Yes
S5A2_Samp3_Agg_LPS_allAbs	NA	NA	NA	NA	NA	NA	NA	3	Aggregated	Yes	No	Sample3_Aggregated_Yes
S5A3_Samp3_Agg_LPS_AllAbs	2253.148712	7446.787514	9.328079224	39.62860107	0.155639648	30.4561615	9.172439575	3	Aggregated	Yes	No	Sample3_Aggregated_Yes
S5A4_Samp1_Sol_NoLPS_AllAbs	1461.765121	6030.777378	1.517486572	28.11851501	0.037002563	26.63803101	1.480484009	1	Soluble	No	No	Sample1_Soluble_No
S5A5_Samp1_Sol_NoLPS_AllAbs	1963.355244	7910.32872	5.819702148	32.46116638	0.129699707	26.77116394	5.690002441	1	Soluble	No	No	Sample1_Soluble_No
S5C2_Samp2_Sol_NoLPS_AllAbs	1330.024891	4412.58147	0.677490234	17.9359436	0.02784729	17.28630066	0.649642944	2	Soluble	No	No	Sample2_Soluble_No
S5C3_Samp2_Sol_NoLPS_AllAbs	1448.966152	5649.062374	1.079940796	24.22981262	0.118637085	23.26850891	0.961303711	2	Soluble	No	No	Sample2_Soluble_No
S5C4_Samp3_Sol_NoLPS_AllAbs	1428.466412	6238.751114	1.361465454	25.10986328	0.067520142	23.81591797	1.293945313	3	Soluble	No	No	Sample3_Soluble_No
S5C5_Samp3_Sol_NoLPS_AllAbs	1618.813076	7360.852249	1.944351196	34.04541016	0.366592407	32.46765137	1.577758789	3	Soluble	No	No	Sample3_Soluble_No
S6A2_Samp1_Sol_LPS_AllAbs	3987.521957	8664.002018	19.84329224	44.21157837	0.079727173	24.44801331	19.76356506	1	Soluble	Yes	No	Sample1_Soluble_Yes
S6A3_Samp1_Sol_LPS_AllAbs	2344.185894	7560.63232	11.15226746	46.16241455	0.122451782	35.13259888	11.02981567	1	Soluble	Yes	No	Sample1_Soluble_Yes
S6A4_Samp2_Sol_LPS_AllAbs	2000.664417	8980.615456	7.320022583	53.03764343	0.134277344	45.85189819	7.185745239	2	Soluble	Yes	No	Sample2_Soluble_Yes
S6A5_Samp2_Sol_LPS_AllAbs	1906.627171	7773.166637	6.57043457	36.00921631	0.031661987	29.47044373	6.538772583	2	Soluble	Yes	No	Sample2_Soluble_Yes
S6C2_Samp3_Sol_LPS_AllAbs	1527.219662	5252.779335	3.090286255	19.81468201	0.025939941	16.75033569	3.064346313	3	Soluble	Yes	No	Sample3_Soluble_Yes
S6C3_Samp3_Sol_LPS_AllAbs	2084.214916	7600.649574	8.591461182	32.73582458	0.06942749	24.21379089	8.522033691	3	Soluble	Yes	No	Sample3_Soluble_Yes
